country,year,ae_ton_arts
esp,2022,375.98344
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,171.33847
swe,2009,170.66926
swe,2010,174.71847
swe,2011,175.25262
swe,2012,171.29322
swe,2013,162.48815
swe,2014,158.14646
swe,2015,157.67823
swe,2016,149.38952
swe,2017,147.43142
swe,2018,140.19813
swe,2019,144.72762
swe,2020,135.21353
swe,2021,135.5112
swe,2022,120.55895
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,152.08067
che,2009,154.86354
che,2010,153.85384
che,2011,139.79694
che,2012,158.27651
che,2013,171.82247
che,2014,176.56457
che,2015,214.53099
che,2016,182.6874
che,2017,177.14895
che,2018,193.05785
che,2019,207.62117
che,2020,214.76001
che,2021,220.49017
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
gbr,1990,
gbr,1991,
gbr,1992,
gbr,1993,
gbr,1994,
gbr,1995,
gbr,1996,
gbr,1997,
gbr,1998,
gbr,1999,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,1286.8
gbr,2009,1107.5
gbr,2010,1109.1
gbr,2011,1013.9
gbr,2012,1069
gbr,2013,1059.3
gbr,2014,979
gbr,2015,1011.1
gbr,2016,1035.8
gbr,2017,1022.1
gbr,2018,1007.8
gbr,2019,1002.6
gbr,2020,880
gbr,2021,954.8
gbr,2022,952.5
gbr,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,9556.39139
eu_three,2009,9705.35963
eu_three,2010,10121.65707
eu_three,2011,9106.38643
eu_three,2012,9249.66465
eu_three,2013,8697.70048
eu_three,2014,6652.97312
eu_three,2015,7047.31342
eu_three,2016,6684.00144
eu_three,2017,6811.33509
eu_three,2018,6650.24004
eu_three,2019,6616.0194
eu_three,2020,6161.35923
eu_three,2021,6639.66808
eu_three,2022,6080.94825
eu_three,2023,
