country,year,ae_ton_land
svn,2010,551.42747
svn,2011,548.47396
svn,2012,525.54325
svn,2013,527.84842
svn,2014,547.05321
svn,2015,566.74917
svn,2016,568.75089
svn,2017,617.52815
svn,2018,686.13877
svn,2019,721.29847
svn,2020,687.15521
svn,2021,742.10399
svn,2022,867.75197
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,30945.54411
esp,2009,27494.49554
esp,2010,26319.36291
esp,2011,24966.678
esp,2012,22637.57176
esp,2013,22722.4447
esp,2014,22780.16541
esp,2015,24174.71414
esp,2016,24721.99099
esp,2017,25846.79374
esp,2018,25099.6637
esp,2019,25603.71846
esp,2020,23341.81749
esp,2021,26067.0328
esp,2022,27225.07793
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,3594.96002
swe,2009,3275.31293
swe,2010,3369.14056
swe,2011,3294.28874
swe,2012,2946.53327
swe,2013,2703.70623
swe,2014,2597.09849
swe,2015,2392.9566
swe,2016,2136.28411
swe,2017,2010.63726
swe,2018,1875.99721
swe,2019,1829.77106
swe,2020,1670.48124
swe,2021,1737.83458
swe,2022,1952.48091
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,1657.15349
che,2009,1604.40881
che,2010,1619.37223
che,2011,1612.1299
che,2012,1541.02409
che,2013,1528.12547
che,2014,1533.57235
che,2015,1526.65359
che,2016,1543.88251
che,2017,1517.69185
che,2018,1508.10589
che,2019,1510.75955
che,2020,1467.7281
che,2021,1477.29049
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
gbr,1990,
gbr,1991,
gbr,1992,
gbr,1993,
gbr,1994,
gbr,1995,
gbr,1996,
gbr,1997,
gbr,1998,
gbr,1999,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,24670.4
gbr,2009,22640.7
gbr,2010,23224.8
gbr,2011,22399.1
gbr,2012,22180.3
gbr,2013,22080.1
gbr,2014,22476.5
gbr,2015,22715.5
gbr,2016,23172.2
gbr,2017,23243.5
gbr,2018,23274.6
gbr,2019,23160.3
gbr,2020,20390.8
gbr,2021,22008
gbr,2022,
gbr,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,175133.24625
eu_three,2009,164811.63229
eu_three,2010,163734.90575
eu_three,2011,160246.14645
eu_three,2012,152623.98865
eu_three,2013,149973.77285
eu_three,2014,146222.76797
eu_three,2015,147650.76493
eu_three,2016,143843.84998
eu_three,2017,151967.84121
eu_three,2018,151756.45408
eu_three,2019,152762.28047
eu_three,2020,140150.36926
eu_three,2021,151685.07688
eu_three,2022,155168.46596
eu_three,2023,
